Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0440103087706012,-0.00039308982449528,-0.243380580980744,0,0,0,74.8711142929729,1.73784843017662,-0.000155091907535194,1.30303005962427E-05,1.03101714948787,-0.00157129394231996,1.08085825941961,0,0,0,0,0,0,package://URDF_Assembly/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/base_link.STL,,Torso_assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_abad_link,0.0653703880353235,0.0111297193933357,3.13522689437125E-05,0,0,0,2.86570722888683,0.00308743111576597,-0.000100461923276084,5.07544603719129E-05,0.00498069576307559,-5.13461074484358E-06,0.00315916369993513,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_abad_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_abad_link.STL,,ABAD_Link-1,Origin_fl_abad_joint2,Axis_fl_abad_joint2,fl_abad_joint,revolute,0.288,0.08,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
fl_hip_link,-5.63462033764672E-06,0.112291501917904,-0.0301005199565665,0,0,0,3.39636721169803,0.0108354198257012,3.80472480846786E-07,3.11286163693941E-06,0.0130612008500234,-3.25463371617561E-05,0.0029183674928435,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_hip_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_hip_link.STL,,Thigh_link-1,Origin_fl_hip_joint2,Axis_fl_hip_joint2,fl_hip_joint,revolute,0.07,0.0568,0,0,0,0,fl_abad_link,0,1,0,0,0,0,0,,,,,,,,
fl_knee_link,-0.0297772126203524,6.42487676949521E-09,0.245840980570351,0,0,0,1.04230630942081,0.00618339652540987,-1.31434040452286E-10,0.000758126818027222,0.00655508151674601,1.92260694273239E-09,0.000579966022166106,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fl_knee_link.STL,,Shank_link-1,Origin_fl_knee_joint2,Axis_fl_knee_joint2,fl_knee_joint,revolute,0.018363,0.065,-0.729,0,0,0,fl_hip_link,0,1,0,0,0,0,0,,,,,,,,
fr_abad_link,0.0653703858682089,-0.0111297182148513,3.13537954733256E-05,0,0,0,2.86570660554006,0.00308743048654855,0.000100461931632064,5.07542421878163E-05,0.00498069445531564,5.13490640733954E-06,0.00315916316479485,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_abad_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_abad_link.STL,,Mirror1ABAD_Link-2,Origin_fr_abad_joint2,Axis_fr_abad_joint2,fr_abad_joint,revolute,0.288,-0.08,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
fr_hip_link,-5.63480477971945E-06,-0.112291525410967,-0.0301003961777064,0,0,0,3.39636473376209,0.0108353937023439,-3.8067278207666E-07,3.11357136272973E-06,0.0130611730842163,3.25461043953246E-05,0.00291836593966666,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_hip_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_hip_link.STL,,Mirror1Thigh_link-2,Origin_fr_hip_joint2,Axis_fr_hip_joint2,fr_hip_joint,revolute,0.07,-0.0568,0,0,0,0,fr_abad_link,0,1,0,0,0,0,0,,,,,,,,
fr_knee_link,-0.0297772739984772,1.46986327831389E-08,0.245841591581976,0,0,0,1.04230257201694,0.00618342070816385,-3.36554293819443E-10,0.000758127720791932,0.00655511206866738,4.60847550123796E-10,0.000579960548680515,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/fr_knee_link.STL,,Mirror1Shank_link-2,Origin_fr_knee_joint2,Axis_fr_knee_joint2,fr_knee_joint,revolute,0.018363,-0.065,-0.729,0,0,0,fr_hip_link,0,1,0,0,0,0,0,,,,,,,,
rl_abad_link,-0.0653703858682088,0.0111297182148513,3.13537954734417E-05,0,0,0,2.86570660554006,0.00308743048654855,0.000100461931632067,-5.07542421878152E-05,0.00498069445531564,-5.13490640733536E-06,0.00315916316479486,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_abad_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_abad_link.STL,,Mirror2ABAD_Link-2,Origin_rl_abad_joint2,Axis_rl_abad_joint2,rl_abad_joint,revolute,-0.288,0.08,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
rl_hip_link,-5.6346203375357E-06,0.112291501917904,-0.0301005199565664,0,0,0,3.39636721169803,0.0108354198257012,3.80472480847154E-07,3.11286163693777E-06,0.0130612008500234,-3.2546337161756E-05,0.00291836749284351,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_hip_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_hip_link.STL,,Thigh_link-2,Origin_rl_hip_joint2,,rl_hip_joint,revolute,-0.07,0.0568,0,0,0,0,rl_abad_link,0,0,0,0,0,0,0,,,,,,,,
rl_knee_link,-0.0297772126203523,6.42487679725079E-09,0.24584098057035,0,0,0,1.04230630942081,0.00618339652540987,-1.31434040479944E-10,0.00075812681802722,0.00655508151674601,1.92260694272989E-09,0.000579966022166106,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_Assembly/meshes/rl_knee_link.STL,,Shank_link-2,Origin_rl_knee_joint2,,rl_knee_joint,revolute,0.018363,0.065,-0.729,0,0,0,rl_hip_link,0,0,0,0,0,0,0,,,,,,,,
